C32569	http://appstore.huawei.com:80/app/C32569	优酷	C9136:唯品会,C29156:腾讯视频,C21976:UC浏览器,C5206:美团团购,C20960:搜狐视频,C53424:土豆视频,C3466:酷狗音乐,C10220136:QQ音乐,C10132452:芒果TV,C2002:爱奇艺,C10021449:音乐,C2002:爱奇艺,C3466:酷狗音乐,C32569:优酷,C20960:搜狐视频,C29156:腾讯视频,C290:酷我音乐,C10220136:QQ音乐,C2068:多米音乐,C10162466:爱看4G视频,	上下班路上没事干,咋办？手机看儒豹段子! 工作休息时间想放松放松，干啥？手机看儒豹段子！ 跟对象吵架心情郁闷,怎么破？还是看儒豹段子! 【简介】 “儒豹段子”是儒豹科技推出的一款搞笑娱乐类应用,内容涵盖各种内涵搞笑段子,笑话糗事,爆笑趣图,幽默视频,内涵漫画，节日语录，冷笑话等， 或高端大气有逼格,或通俗搞笑接地气,随时随地给你
C10067631	http://appstore.huawei.com:80/app/C10067631	华为手机服务	C10055832:华为文件管理,C10132067:华为帐号,C10168550:亲情关怀,C10060708:华为支付,C10200687:华为视频,C66323:华为备份,C10207207:华为云服务,C10085602:花粉俱乐部,C10021449:音乐,C10360236:华为视频,C36902:WiFi万能钥匙,C27162:华为应用市场,C10055832:华为文件管理,C66323:华为备份,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,	华为手机服务:激活华为会员，立享精彩权益！ 更新到手机服务最新版本、免费激活会员，立享高级专属售后服务特权、VIP客服热线，还有160G免费空间、海量衣食住行礼包、华为商城优惠券等你抢！ “手机服务”为华为终端用户提供一站式售后服务，集成华为会员、在线寄修、预约维修、在线客服等十多项丰富的在线服务，旨在为亿万华为终端用户提供优质、省心、快捷的服务。 主要
C10200687	http://appstore.huawei.com:80/app/C10200687	华为视频	C10055832:华为文件管理,C10067631:华为手机服务,C10132067:华为帐号,C10021449:音乐,C10168550:亲情关怀,C10060708:华为支付,C66323:华为备份,C10207207:华为云服务,C10085602:花粉俱乐部,C10217244:华为钱包,C10021449:音乐,C2002:爱奇艺,C3466:酷狗音乐,C32569:优酷,C20960:搜狐视频,C29156:腾讯视频,C290:酷我音乐,C10220136:QQ音乐,C2068:多米音乐,C10162466:爱看4G视频,	华为视频是华为手机上内置的系统视频播放器，旨在为用户提供一站式的视频体验服务。无需安装第三方视频软件，即可享受来自互联网的海量视频资源。欢乐颂、武神赵子龙、四大名助、我们相爱吧2、一路上有你等热门影视综艺一网打尽  亮点介绍 【在线视频】热门视频、海量美剧与大洋彼岸同享精彩剧集 【视频悬浮窗】悬浮窗设计，聊天看剧同步进行； 【智
C5206	http://appstore.huawei.com:80/app/C5206	美团团购	C9136:唯品会,C10116109:百度糯米,C10220136:QQ音乐,C21976:UC浏览器,C5373:支付宝,C20252:京东,C6023:美图秀秀,C29156:腾讯视频,C3382:百度地图,C32569:优酷,C34075:手机淘宝,C10049053:华为商城,C5206:美团团购,C10608:大众点评,C57804:天猫,C20252:京东,C9136:唯品会,C2217:我查查,C10116109:百度糯米,C10284106:美丽说,	美团团购:【超值活动】 大战一触即发，英雄齐聚一堂！5.9元看《魔兽》&《X战警》，还等什么，赶快加入吧！！！  活动时间：6.6~6.12 【产品特点】 团购新用户1元吃喝玩乐，电影，酒店，外卖，美食，旅游优惠送；老用户名店抢购，商家团购折上折； 精致美食，旅游团购，酒店预订，打折机票，特惠电影，在线买单，外卖立减，团购优惠根本停不下来！团购
C20911	http://appstore.huawei.com:80/app/C20911	高德地图	C3403:高德导航,C9913:凯立德导航,C2212:腾讯地图,C10454638:优步车主端,C10309974:滴滴司机,C60394:谷歌地图,C10226720:易到用车,C10197265:滴滴司机,C10099655:铁路12306,C3382:百度地图,C3382:百度地图,C20911:高德地图,C5157:携程旅行,C262:去哪儿旅行,C10047107:滴滴出行,C5745:天翼导航,C3403:高德导航,C10239309:优步 - Uber,C39196:艺龙旅行,C10043914:和地图,	高德地图---中国专业的手机地图，超过5亿用户正在使用！高德地图拥有全面精准的地点信息，特色语音导航、智能路线规划；省流量、耗电低、空间占用小、体验流畅，是您贴心的生活助手！   智能路线规划 -语音搜索轻松查询路线，出行再无忧 -超强公交规划能力，优质路线唾手可得 -步行规划再升级，室内室外全程规划直达目的地  精
C3382	http://appstore.huawei.com:80/app/C3382	百度地图	C60394:谷歌地图,C2212:腾讯地图,C10099655:铁路12306,C3403:高德导航,C5206:美团团购,C20911:高德地图,C2543:QQ同步助手,C121553:WPS Office,C2861:同花顺炒股,C2217:我查查,C3382:百度地图,C20911:高德地图,C5157:携程旅行,C262:去哪儿旅行,C10047107:滴滴出行,C5745:天翼导航,C3403:高德导航,C10239309:优步 - Uber,C39196:艺龙旅行,C10043914:和地图,	5亿人都在用的百度地图 【功能介绍】 最全最准手机地图，专业智能语音导航。 探索周边美食娱乐。在线订机票、酒店更享多重优惠。 明星趣味语音导航，躲避拥堵路线规划，实时公交多城市覆盖 海量地点信息，及时更新，查哪儿都知道 优步、专车、顺风车随叫随到 更有离线地图，节省流量。收藏夹可以同步云端，实现电脑、手机、Pad三端
C20679	http://appstore.huawei.com:80/app/C20679	QQ浏览器	C10035716:搜狗浏览器,C10150873:猎豹浏览器,C43397:百度浏览器,C177684:搜狗阅读,C10397414:QQ空间,C10115951:掌上英雄联盟,C2510:QQ阅读,C57236:今日头条,C2682:搜狗输入法,C21976:UC浏览器,C36902:WiFi万能钥匙,C27162:华为应用市场,C10055832:华为文件管理,C66323:华为备份,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,	QQ浏览器，亿万小伙伴认可，安全浏览，极速体验，更懂你需求 上QQ浏览器看你想看，资源多得你尖叫 【热点及时看】 热点新闻抢先推送，全网资讯一触即达，个性内容更懂你 【趣味轻松找】 搞笑视频、内涵图片、幽默段子，贱萌逗乐人人爱 【游戏畅快玩】 聚合全网火爆游戏，福利礼包应有尽有，找攻略泡论坛，交友更轻松 【小说
C121553	http://appstore.huawei.com:80/app/C121553	WPS Office	C7127592:Microsoft Wo…,C7127453:Microsoft Ex…,C37127:PDF阅读器 …,C112044:超级课程表,C66323:华为备份,C10113430:CAD快速看图,C10166330:网易邮箱大师,C6468:金山词霸,C381:网易有道词典,C10405418:QQ邮箱,C121553:WPS Office,C381:网易有道词典,C174391:百度云,C5458:驾考宝典,C10113015:作业帮,C6468:金山词霸,C10191382:小猿搜题,C10068705:扫描全能王,C10082485:名片全能王,C10208807:驾校一点通,	WPS Office:崭新界面设计全面开启，操作得到更大幅度的提高和优化  最佳安卓办公软件，个人版永久免费，体积小、速度快；独有手机阅读模式，字体清晰翻页流畅；完美支持微软Office、PDF等23种文档格式；文档漫游功能，让你离开电脑一样办公。  用户多：全球用户 500,000,000！ 口碑好：Google Play 超过490,000五星评
C10055832	http://appstore.huawei.com:80/app/C10055832	华为文件管理	C10132067:华为帐号,C10067631:华为手机服务,C10060708:华为支付,C10200687:华为视频,C10360236:华为视频,C10168550:亲情关怀,C66323:华为备份,C10021449:音乐,C10207207:华为云服务,C40066:文件管理器,C36902:WiFi万能钥匙,C27162:华为应用市场,C10055832:华为文件管理,C66323:华为备份,C21976:UC浏览器,C10067631:华为手机服务,C10207207:华为云服务,C20679:QQ浏览器,C10059090:华为游戏中心,C10132067:华为帐号,	【软件介绍】  【华为文件管理】是华为公司为用户精心打造的一款好用、易用的资源管理共享类应用软件。体贴的分类让您可以快速找到图片、音频、文档、视频、压缩包等文件，不再纠结于N级的文件目录。 【华为文件管理】支持中文、英文、法语、西班牙语、俄语、日语、韩语等42国语言，适配华为手机安卓系统4.0及以上。  【功能特色】  1.支持
C3466	http://appstore.huawei.com:80/app/C3466	酷狗音乐	C21976:UC浏览器,C9136:唯品会,C29156:腾讯视频,C5373:支付宝,C5206:美团团购,C32569:优酷,C10220136:QQ音乐,C10134672:开心消消乐,C2682:搜狗输入法,C9319:QQ,C10021449:音乐,C2002:爱奇艺,C3466:酷狗音乐,C32569:优酷,C20960:搜狐视频,C29156:腾讯视频,C290:酷我音乐,C10220136:QQ音乐,C2068:多米音乐,C10162466:爱看4G视频,	【酷狗8.0全新上线】 在过去的1572万秒，我们每一秒的努力造就了酷狗音乐8.0。她蜕下了旧装，换上了新颜，带着全新的操作体验、专业的音效品质、新颖的音乐社交，再次焕然一新地来到了你的面前。始终不变的，只有音乐，和初心。  【听】 1、全新界面，让体验焕然一新 2、新增酷群，边听音乐边聊天 3、更多蝰蛇音效，让音乐震撼全
